FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,Δh3,Mh3,Mv3,Delta_foF2_3,slope_foF2_3,foF2_max_SW3,foF2_min_SW3,foF2_drop_SW3,num_muestras_foF2_SW3,delta_inicio_SW3_min,delta_fin_SW3_min,extremos_validos_SW3,tiempo_real_SW3_min,F_DENSITY,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18,TARGET,VECES_SUPERO_UMBRAL,S4_MAX,S4_MEAN,TOTAL_MEDICIONES,HORA_PICO,PRN_PICO
2015-01-21,,,,,,,,,0.0,10.000000000000073,-10.000000000000073,False,,,,,,,,,,0.0,-10.000000000000073,-4.999999999999929,False,,37.0,418.1,0.8222222222222222,0.0,0.0,11.5,11.2,0.3000000000000007,3.0,-4.999999999999929,0.0,True,45.0,10.716666666666669,3.1750000000000003,1.5,-0.47,0.07,0.86,0.3039999999999999,476.75,9.742518497116988,-2.3,-10.0,-12.0,27.262500000000003,99.99,-7.9,31.5,33.0,189.0,120.0,4.0,6.0,1.0,10.0,0.6953,0.0542,2768.0,2015-01-21 20:43:04,G14
2015-01-22,,,,,,,,,0.0,15.0,4.999999999999929,False,,39.400000000000034,422.8,1.3133333333333346,0.0,0.0,8.9,,,2.0,4.999999999999929,-4.999999999999929,True,30.0,11.899999999999975,434.7,0.2644444444444439,-0.9000000000000004,-0.02,8.9,8.0,0.9000000000000004,4.0,-4.999999999999929,0.0,True,45.0,8.685714285714285,-0.475,-1.0,-0.55,0.8925,1.23,0.107,432.75,13.889444433333775,-10.3,-13.25,-14.0,2.655,2.75,-4.199999999999999,21.5,23.0,129.0,116.6,4.0,6.0,1.0,15.0,0.6664,0.0722,2763.0,2015-01-22 20:18:04,G16
2015-01-23,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,34.99999999999993,-4.999999999999929,False,,31.100000000000023,385.8,0.6911111111111116,-0.1999999999999993,-0.0044444444444444,9.5,9.3,0.1999999999999993,4.0,-4.999999999999929,0.0,True,45.0,9.45,1.525,0.7,0.5900000000000001,-0.2199999999999999,-0.04,-0.148,428.0,2.449489742783178,-1.8,-9.75,-12.0,1.8975,1.94,-2.2,12.0,17.0,72.0,117.3,4.0,6.0,1.0,33.0,0.9156,0.0875,2673.0,2015-01-23 20:17:04,G16
2015-01-24,,359.6,,,,10.8,,,1.0,0.0,-40.00000000000007,False,,,,,,,,,,0.0,34.99999999999993,-4.999999999999929,False,,49.39999999999998,416.7,1.0977777777777773,-0.5,-0.0111111111111111,10.6,9.9,0.6999999999999993,4.0,-4.999999999999929,0.0,True,45.0,10.44,0.975,0.4,0.43,0.1399999999999999,0.47,-0.274,359.75,4.573474244670748,-0.3,-8.25,-10.0,1.9675,2.33,-3.175,23.0,23.0,138.0,121.4,4.0,6.0,1.0,12.0,0.749,0.0814,2781.0,2015-01-24 22:49:04,G07
2015-01-25,,368.4,,,,9.2,,,1.0,0.0,-40.00000000000007,False,,,,,,,,,,0.0,34.99999999999993,-4.999999999999929,False,,16.80000000000001,402.1,0.3733333333333336,-0.0999999999999996,-0.0022222222222222,9.5,9.3,0.1999999999999993,4.0,-4.999999999999929,0.0,True,45.0,9.36,-1.175,-5.5,-1.25,1.2525,2.81,0.481,354.5,8.266397845091497,6.0,-3.5,-10.0,3.2525,3.52,-5.975,20.0,27.0,120.0,122.7,4.0,6.0,1.0,1.0,0.4113,0.0504,2777.0,2015-01-25 19:59:04,G16
2015-01-26,,354.8,,,,10.7,,,1.0,0.0,-40.00000000000007,False,,,,,,,,,,0.0,34.99999999999993,-4.999999999999929,False,,30.5,429.7,0.6777777777777778,-0.7000000000000011,-0.0155555555555555,11.4,10.7,0.7000000000000011,4.0,-4.999999999999929,0.0,True,45.0,10.919999999999998,-1.85,-2.4,-0.26,1.23,1.44,0.144,366.25,2.217355782608345,1.5,-23.25,-26.0,2.8550000000000004,2.98,-4.025,21.5,23.0,129.0,142.5,4.0,6.0,1.0,2.0,0.4564,0.0713,2788.0,2015-01-26 22:22:04,G17
2015-01-27,47.0,411.6,1.0444444444444445,0.6999999999999993,0.0155555555555555,10.5,9.8,0.6999999999999993,3.0,0.0,4.999999999999929,True,45.0,-73.30000000000001,411.6,-2.443333333333334,-1.1999999999999993,-0.0399999999999999,10.5,,,2.0,4.999999999999929,-4.999999999999929,True,30.0,73.09999999999997,411.4,1.6244444444444437,1.299999999999999,0.0288888888888888,10.7,9.3,1.3999999999999986,4.0,-4.999999999999929,0.0,True,45.0,10.085714285714284,0.625,-1.0,1.19,0.4149999999999999,1.29,-0.654,469.25,10.1447851956888,-6.9,-20.25,-24.0,4.955,5.99,-3.375,28.0,33.0,168.0,153.3,4.0,6.0,1.0,4.0,0.7977,0.0632,2798.0,2015-01-27 21:38:04,G27
2015-01-28,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,19.99999999999993,10.000000000000073,False,,,,,,,,,,0.0,10.000000000000073,0.0,False,,9.125,0.55,-0.3,0.16,0.5050000000000001,1.03,0.136,407.75,7.274384280931732,-5.1,-7.0,-9.0,2.7125000000000004,3.06,-4.125,8.0,13.0,48.0,154.5,4.0,6.0,1.0,24.0,0.5978,0.0829,2794.0,2015-01-28 22:55:04,G32
2015-01-29,,391.6,,,,10.8,,,1.0,15.0,-25.00000000000007,False,,,,,,,,,,0.0,34.99999999999993,-4.999999999999929,False,,41.099999999999966,426.7,0.9133333333333326,-0.5,-0.0111111111111111,9.7,9.2,0.5,4.0,-4.999999999999929,0.0,True,45.0,9.7,1.0,-1.4,0.0200000000000001,0.24,1.25,-0.1639999999999999,406.25,5.377421934967226,-3.1,-12.5,-17.0,4.73,5.21,-3.475,32.0,37.0,192.0,166.7,4.0,6.0,1.0,9.0,0.8861,0.0647,2802.0,2015-01-29 20:16:04,G14
2015-01-30,,429.3,,,,12.5,,,1.0,0.0,-40.00000000000007,False,,,,,,,,,,0.0,34.99999999999993,-4.999999999999929,False,,-28.59999999999997,483.6,-0.6355555555555548,-2.6,-0.0577777777777777,11.9,9.3,2.6,4.0,-4.999999999999929,0.0,True,45.0,11.24,0.5750000000000001,-3.1,-2.05,0.0924999999999999,1.7,0.8710000000000001,418.5,5.5677643628300215,1.6,-24.75,-33.0,2.28,2.98,-1.725,31.5,33.0,189.0,154.6,4.0,6.0,1.0,23.0,0.6591,0.0912,2790.0,2015-01-30 23:21:04,G20
2015-01-31,-15.699999999999989,386.2,-0.3488888888888886,-1.0,-0.0222222222222222,10.3,8.9,1.4000000000000004,4.0,0.0,4.999999999999929,True,45.0,-29.69999999999999,370.5,-0.9899999999999995,-0.9000000000000004,-0.03,9.3,,,2.0,4.999999999999929,-4.999999999999929,True,30.0,82.69999999999999,423.5,1.8377777777777773,0.4000000000000003,0.0088888888888888,9.3,8.4,0.9000000000000004,4.0,-4.999999999999929,0.0,True,45.0,9.1875,-2.275,-5.1,-0.61,0.7225,1.62,-0.515,401.5,4.509249752822894,1.6,-19.0,-23.0,5.5600000000000005,6.76,0.5499999999999998,30.0,37.0,180.0,149.0,4.0,6.0,1.0,9.0,0.5111,0.0619,2520.0,2015-01-31 23:54:04,G20
2015-02-01,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,34.99999999999993,-4.999999999999929,False,,-19.399999999999977,432.5,-0.4311111111111106,-1.0,-0.0222222222222222,12.7,11.7,1.0,4.0,-4.999999999999929,0.0,True,45.0,12.1,-3.4,-7.3,-0.8600000000000001,3.595,6.16,0.4520000000000001,642.5,21.91650823770368,-16.2,-26.5,-31.0,5.865,6.64,-5.775,46.5,50.0,279.0,137.6,4.0,6.0,1.0,42.0,0.7957,0.1133,2505.0,2015-02-01 22:12:04,G19
2015-02-02,,,,,,,,,0.0,0.0,-10.000000000000073,False,,,,,,,,,,0.0,-10.000000000000073,-4.999999999999929,False,,61.599999999999966,466.9,1.3688888888888882,-0.0999999999999996,-0.0022222222222222,12.4,9.5,2.9000000000000004,3.0,-4.999999999999929,0.0,True,45.0,11.966666666666669,0.125,-0.7,-0.15,0.54,1.9,0.57,653.5,17.74823934929885,12.0,-22.25,-28.0,2.06,2.44,-2.05,35.0,40.0,210.0,139.8,4.0,6.0,1.0,77.0,0.7447,0.1177,2784.0,2015-02-02 19:59:04,G14
2015-02-03,,305.4,,,,8.2,,,1.0,45.0,4.999999999999929,False,,,,,,,,,,0.0,4.999999999999929,10.000000000000073,False,,,,,,,,,,0.0,10.000000000000073,0.0,False,,10.95,0.35,-1.6,-0.8800000000000001,0.12,1.35,0.6880000000000001,540.25,3.4034296427770228,-2.1,-13.5,-18.0,2.1499999999999995,2.21,-1.25,26.5,30.0,159.0,145.1,4.0,6.0,1.0,37.0,0.9615,0.0812,2785.0,2015-02-03 20:39:14,G09
2015-02-04,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,25.00000000000007,0.0,False,,8.5,-0.175,-0.5,-0.23,0.3399999999999999,0.59,0.204,428.25,4.272001872658765,-3.3,-13.25,-18.0,1.25,1.33,-1.4,13.0,13.0,78.0,150.1,4.0,6.0,1.0,53.0,0.9771,0.0951,2784.0,2015-02-04 22:21:14,G07
2015-02-05,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,34.99999999999993,-4.999999999999929,False,,56.89999999999998,468.0,1.264444444444444,0.3000000000000007,0.0066666666666666,11.5,11.2,0.3000000000000007,4.0,-4.999999999999929,0.0,True,45.0,11.4,-1.1,-2.0,0.64,-0.625,-0.28,-0.1919999999999999,399.25,4.425306015783918,-3.1,-17.0,-20.0,1.5325,1.84,5.65,25.0,27.0,150.0,138.0,4.0,6.0,1.0,52.0,0.797,0.1011,2788.0,2015-02-05 19:49:04,G14
2015-02-06,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,34.99999999999993,-4.999999999999929,False,,-1.8000000000000114,430.0,-0.0400000000000002,-0.4000000000000003,-0.0088888888888888,9.3,8.9,0.4000000000000003,4.0,-4.999999999999929,0.0,True,45.0,9.125,1.225,-2.0,-0.0899999999999999,-1.2525,0.5,0.1169999999999999,421.25,8.421203397773187,-3.3,-6.25,-10.0,1.54,1.7,4.0,5.0,10.0,30.0,139.3,4.0,6.0,1.0,34.0,0.6765,0.0987,2797.0,2015-02-06 19:42:04,G14
2015-02-07,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,34.99999999999993,-4.999999999999929,False,,118.0,505.5,2.6222222222222222,2.0,0.0444444444444444,11.3,9.3,2.0,4.0,-4.999999999999929,0.0,True,45.0,9.875,0.2,-2.8,1.7600000000000002,-0.5700000000000001,0.88,-1.12,405.75,7.58836829188814,5.5,-18.5,-21.0,2.46,2.68,2.5,18.0,23.0,108.0,148.9,4.0,6.0,1.0,44.0,0.6354,0.1154,2770.0,2015-02-07 21:33:04,G19
2015-02-08,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,34.99999999999993,-4.999999999999929,False,,73.60000000000002,443.6,1.635555555555556,1.3000000000000007,0.0288888888888889,11.6,9.5,2.1,4.0,-4.999999999999929,0.0,True,45.0,10.85,-2.9250000000000003,-3.7,-0.2099999999999999,0.8275000000000001,1.34,0.355,511.5,7.767453465154029,-4.0,-17.5,-19.0,1.2425,1.35,2.075,28.5,30.0,171.0,148.7,4.0,6.0,,,,,,,
2015-02-09,-41.0,401.4,-0.9111111111111112,-0.1999999999999993,-0.0044444444444444,10.2,,,2.0,0.0,4.999999999999929,True,45.0,-20.59999999999997,360.4,-0.6866666666666655,-0.5,-0.0166666666666666,10.0,9.5,0.5,3.0,4.999999999999929,-4.999999999999929,True,30.0,57.80000000000001,402.1,1.2844444444444447,1.3000000000000007,0.0288888888888889,11.1,9.5,1.5999999999999996,4.0,-4.999999999999929,0.0,True,45.0,10.285714285714286,0.2249999999999999,-4.4,1.67,-0.765,1.31,-0.7560000000000001,385.5,3.1091263510296048,-1.6,-20.0,-23.0,1.33,1.4,3.725,21.5,23.0,129.0,141.9,4.0,6.0,1.0,3.0,0.5484,0.0754,1130.0,2015-02-09 22:21:04,G20
2015-02-10,,,,,,,,,0.0,25.00000000000007,0.0,False,,-19.100000000000023,430.1,-0.4775000000000006,-1.0,-0.025,10.2,7.75,2.45,7.0,0.0,0.0,True,40.0,22.200000000000045,422.5,0.5550000000000012,0.0,0.0,9.5,7.0,2.5,9.0,0.0,0.0,True,40.0,8.991176470588234,-1.45,-4.3,1.1,0.1125,1.81,-0.633,386.0,4.546060565661952,1.8,-14.5,-16.0,1.19,1.23,2.025,23.5,30.0,141.0,137.3,4.0,6.0,1.0,31.0,0.6945,0.0912,2795.0,2015-02-10 21:39:04,G19
2015-02-11,-4.2000000000000455,384.6,-0.1050000000000011,-0.5999999999999996,-0.0149999999999999,9.9,8.8,1.0999999999999996,6.0,0.0,0.0,True,40.0,29.100000000000023,409.5,0.7275000000000006,0.0,0.0,9.3,8.9,0.4000000000000003,8.0,0.0,0.0,True,40.0,20.80000000000001,430.3,0.5200000000000002,-0.200000000000001,-0.005,9.3,8.9,0.4000000000000003,9.0,0.0,0.0,True,40.0,9.185714285714289,-0.375,-2.6,-0.7100000000000002,-0.3599999999999999,0.66,0.434,358.5,6.244997998398398,1.2,-8.75,-14.0,99.99,99.99,2.8,1.5,3.0,9.0,127.7,4.0,6.0,1.0,10.0,0.7846,0.0702,2511.0,2015-02-11 20:37:04,G27
