FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18,TARGET,VECES_SUPERO_UMBRAL,S4_MAX,S4_MEAN,TOTAL_MEDICIONES,HORA_PICO,PRN_PICO
2012-12-31,312.9,,,9.4,,,9.4,,,1.0,120.0,0.0,False,2012-12-31 19:00:00,,,1.0,-0.2,-0.2,,0.14,0.14,,358.0,,,4.0,4.0,0.49,0.49,-0.7,,,,113.9,1.0,0.0,,,,,,,
2013-01-01,,,,,,,,,,0.0,15.0,0.0,False,2013-01-01 17:15:00,2013-01-01 19:00:00,,3.0,1.025,0.5,0.39,-0.1775,-0.0,-0.139,307.5,1.0,-0.6,4.25,2.0,0.65,0.69,-1.5750000000000002,0.0,0.0,0.0,113.9,4.0,6.0,,,,,,,
2013-01-02,,,,,,,,,,0.0,15.0,0.0,False,2013-01-02 17:15:00,2013-01-02 19:00:00,,5.0,-0.1999999999999999,-1.9,0.3999999999999999,0.16,0.7,-0.174,305.5,3.3166247903554,1.2,3.25,1.0,2.17,2.42,-1.275,8.5,10.0,51.0,115.0,4.0,6.0,,,,,,,
2013-01-03,,,,,,,,,,0.0,30.0,0.0,False,2013-01-03 17:30:00,2013-01-03 19:00:00,,7.0,-1.15,-3.1,-1.08,0.0099999999999999,0.82,0.408,302.5,1.7320508075688772,0.8,7.0,5.0,1.4325,1.61,3.8,0.0,0.0,0.0,124.6,4.0,6.0,,,,,,,
2013-01-04,,,,,,,,,,0.0,15.0,0.0,False,2013-01-04 17:15:00,2013-01-04 19:00:00,,6.0,-0.925,-2.3,0.67,0.0924999999999999,0.57,-0.205,335.25,1.8929694486000912,0.7,1.75,1.0,0.9449999999999998,1.14,2.1500000000000004,7.0,7.0,42.0,138.4,4.0,6.0,,,,,,,
2013-01-05,,,,,,,,,,0.0,60.0,0.0,False,2013-01-05 18:00:00,2013-01-05 19:00:00,,5.0,-0.6000000000000001,-1.2,-0.0799999999999999,-0.04,0.12,-0.0119999999999999,291.25,2.0615528128088303,1.5,1.75,-3.0,0.5025,0.54,2.475,1.5,3.0,9.0,140.3,4.0,6.0,,,,,,,
2013-01-06,,,,,,,,,,0.0,30.0,0.0,False,2013-01-06 17:30:00,2013-01-06 19:00:00,,5.0,1.575,-1.0,0.21,-0.11,0.7,-0.072,347.5,3.415650255319866,-2.2,9.0,5.0,2.5475,2.88,-4.0,13.5,17.0,81.0,137.5,4.0,6.0,,,,,,,
2013-01-07,421.8,0.3400000000000001,40.80000000000001,11.3125,-0.8999999999999986,-0.0074999999999999,11.7,10.8,0.8999999999999986,8.0,0.0,0.0,True,2013-01-07 17:00:00,2013-01-07 19:00:00,120.0,8.0,1.775,0.5,-0.11,-0.365,0.24,0.1099999999999999,353.5,7.593857166596345,-5.8,4.0,2.0,1.4075,1.79,-2.1750000000000003,5.0,7.0,30.0,144.8,4.0,6.0,,,,,,,
2013-01-08,444.7,-0.7641666666666665,-91.7,8.507499999999999,-4.9,-0.0408333333333333,10.5,5.6,4.9,20.0,0.0,0.0,True,2013-01-08 17:00:00,2013-01-08 19:00:00,120.0,20.0,-2.7,-3.2,-8.881784197001253e-17,0.875,1.03,0.1159999999999999,325.75,4.5,3.3,0.75,-1.0,1.8175,1.92,-0.35,16.5,23.0,99.0,150.5,4.0,6.0,,,,,,,
2013-01-09,374.7,0.2433333333333332,29.19999999999999,11.0,-1.299999999999999,-0.0108333333333333,11.7,10.4,1.299999999999999,13.0,0.0,0.0,True,2013-01-09 17:00:00,2013-01-09 19:00:00,120.0,13.0,-1.35,-3.3,0.9,0.4449999999999999,1.14,-0.4119999999999999,322.5,4.43471156521669,-1.0,-4.0,-6.0,0.97,1.03,-0.2750000000000001,7.0,7.0,42.0,163.8,4.0,6.0,,,,,,,
2013-01-10,444.3,0.1575000000000002,18.90000000000004,8.96,-2.9000000000000004,-0.0241666666666666,10.8,7.2,3.6000000000000005,15.0,0.0,0.0,True,2013-01-10 17:00:00,2013-01-10 19:00:00,120.0,15.0,-0.3249999999999999,-0.8,0.45,-0.0599999999999999,0.24,-0.2219999999999999,296.75,3.304037933599835,-1.5,3.75,2.0,1.17,1.34,1.525,5.0,7.0,30.0,168.2,4.0,6.0,,,,,,,
2013-01-11,,,,,,,,,,0.0,30.0,0.0,False,2013-01-11 17:30:00,2013-01-11 19:00:00,,16.0,-3.725,-5.1,0.6499999999999998,0.885,1.41,-0.2019999999999999,339.25,17.55704986607944,12.9,1.25,-5.0,1.7575,1.82,2.55,12.0,17.0,72.0,166.7,4.0,6.0,,,,,,,
2013-01-12,,,,,,,,,,0.0,10.000000000000073,0.0,False,2013-01-12 17:10:00,2013-01-12 19:00:00,,16.0,-0.4749999999999998,-4.1,-1.99,-0.255,1.5,0.912,384.5,7.416198487095663,-3.6,5.0,3.0,1.945,2.04,3.325,6.5,10.0,39.0,163.0,4.0,6.0,,,,,,,
2013-01-13,,,,,,,,,,0.0,64.99999999999993,0.0,False,2013-01-13 18:05:00,2013-01-13 19:00:00,,14.0,-0.425,-4.0,0.2700000000000001,0.1524999999999999,2.3,-0.3269999999999999,492.75,7.544313531837517,-1.7,-13.0,-18.0,2.5525,2.66,0.125,32.0,37.0,192.0,151.4,4.0,6.0,,,,,,,
2013-01-14,460.4,0.5624000000000001,70.30000000000001,10.95,-2.0,-0.016,11.5,9.5,2.0,16.0,-4.999999999999929,0.0,True,2013-01-14 16:55:00,2013-01-14 19:00:00,125.0,16.0,0.525,-0.5,0.01,-0.4725,-0.05,0.1049999999999999,507.75,8.80814017448254,-6.5,-5.25,-6.0,0.8775,0.98,1.275,18.5,20.0,111.0,149.1,4.0,6.0,,,,,,,
